,lpad,tmonth,ttime,aspeed,aflow,sflow
0,085,202001,00:00:00,66.92869318181819,69.08210227272727,243169
1,085,202001,00:05:00,66.69051136363629,68.91022727272727,242564
2,085,202001,00:10:00,66.58863636363637,68.765625,242055
3,085,202001,00:15:00,66.52122159090911,64.7997159090909,228095
4,085,202001,00:20:00,66.44840909090908,60.76875,213906
5,085,202001,00:25:00,66.41536931818182,57.643181818181816,202904
6,085,202001,00:30:00,66.36096590909088,55.00539772727273,193619
7,085,202001,00:35:00,66.3521022727273,53.16306818181818,187134
8,085,202001,00:40:00,66.38798295454544,53.26647727272727,187498
9,085,202001,00:45:00,66.3158238636363,51.04005681818182,179661
10,085,202001,00:50:00,66.24650568181815,48.46590909090909,170600
11,085,202001,00:55:00,66.2613636363636,45.638352272727275,160647
12,085,202001,01:00:00,66.30366477272723,44.24147727272727,155730
13,085,202001,01:05:00,66.30849431818186,44.23948863636364,155723
14,085,202001,01:10:00,66.3386931818182,44.08125,155166
15,085,202001,01:15:00,66.2755113636364,42.527272727272724,149696
16,085,202001,01:20:00,66.26764204545456,41.26875,145266
17,085,202001,01:25:00,66.26409090909095,40.36420454545455,142082
18,085,202001,01:30:00,66.26005681818184,40.00369318181818,140813
19,085,202001,01:35:00,66.26946022727275,40.58522727272727,142860
20,085,202001,01:40:00,66.27093749999996,40.67272727272727,143168
21,085,202001,01:45:00,66.24880681818179,39.24943181818182,138158
22,085,202001,01:50:00,66.206875,38.09375,134090
23,085,202001,01:55:00,66.22261363636356,37.80340909090909,133068
24,085,202001,02:00:00,66.2507954545455,37.11022727272727,130628
25,085,202001,02:05:00,66.19883522727268,37.486079545454544,131951
26,085,202001,02:10:00,66.23650568181816,37.892897727272725,133383
27,085,202001,02:15:00,66.2651420454546,37.19403409090909,130923
28,085,202001,02:20:00,66.22369318181815,36.32471590909091,127863
29,085,202001,02:25:00,66.12650568181819,36.27698863636363,127695
30,085,202001,02:30:00,66.22775568181811,36.71903409090909,129251
31,085,202001,02:35:00,66.17476076555025,39.20753588516747,131110
32,085,202001,02:40:00,66.25673295454543,40.99914772727273,144317
33,085,202001,02:45:00,66.24605113636362,39.93892045454545,140585
34,085,202001,02:50:00,66.21380681818181,38.19801136363636,134457
35,085,202001,02:55:00,66.14184659090911,36.408238636363635,128157
36,085,202001,03:00:00,66.16443181818182,35.00568181818182,123220
