rmonth,record_date,new_cases,avg_avg_speed,norm_new_cases,norm_min_avg_speed
202001,2020-01-29,0.0,63.248720950818154,0.0,0.243218840043634
202001,2020-01-30,0.0,63.15656986288142,0.0,0.22813648736641864
202001,2020-01-31,0.0,62.8880439680698,0.0,0.18418690045221825
202002,2020-02-01,0.0,66.10506590382359,0.0,0.7107163261133422
202002,2020-02-02,0.0,66.95173168533601,0.0,0.8492899686216924
202002,2020-02-03,0.0,64.45258264130347,0.0,0.44025467539865104
202002,2020-02-04,0.0,63.442150283250086,0.0,0.274877385538611
202002,2020-02-05,0.0,63.27015256855996,0.0,0.24672654922496318
202002,2020-02-06,0.0,63.15977533153078,0.0,0.2286611258676877
202002,2020-02-07,0.0,63.60012593343613,0.0,0.30073323297205773
202002,2020-02-08,0.0,66.0893354898933,0.0,0.708141731977047
202002,2020-02-09,0.0,66.2064157654181,0.0,0.7273042404894032
202002,2020-02-10,0.0,64.08480671430435,0.0,0.3800608528254585
202002,2020-02-11,1.0,63.4073789751508,0.00021862702229995628,0.26918637153602415
202002,2020-02-12,0.0,63.46729834556524,0.0,0.27899336456260404
202002,2020-02-13,1.0,62.97424238766577,0.00021862702229995628,0.19829498092824593
202002,2020-02-14,0.0,62.99392300759624,0.0,0.20151610459963817
202002,2020-02-15,0.0,65.90333783957769,0.0,0.6776995286129436
202002,2020-02-16,0.0,66.39463636217394,0.0,0.7581102731141779
202002,2020-02-17,0.0,66.10502164606699,0.0,0.710709082453949
202002,2020-02-18,0.0,63.74815364683932,0.0,0.3249609033071211
202002,2020-02-19,0.0,63.535671349942625,0.0,0.2901839624026261
202002,2020-02-20,0.0,63.44856806038356,0.0,0.275927782015723
202002,2020-02-21,0.0,63.6200660647607,0.0,0.3039968308285864
202002,2020-02-22,0.0,65.84719083944861,0.0,0.668509958780673
202002,2020-02-23,0.0,66.58744648834838,0.0,0.7896674732277318
202002,2020-02-24,0.0,64.07997215784742,0.0,0.3792695818035542
202002,2020-02-25,0.0,63.24361199626591,0.0,0.2423826583327716
202002,2020-02-26,0.0,63.292762247328966,0.0,0.25042707145153575
202002,2020-02-27,0.0,63.58254876400168,0.0,0.29785638068074677
202002,2020-02-28,0.0,63.38033386442604,0.0,0.26475990292585255
202002,2020-02-29,0.0,65.8902391528256,0.0,0.6755556688102359
202003,2020-03-01,0.0,66.46359276425937,0.0,0.7693963555565078
202003,2020-03-02,0.0,63.61149655594228,0.0,0.3025942607975237
202003,2020-03-03,0.0,63.1717188908205,0.0,0.23061592615775528
202003,2020-03-04,0.0,63.454110740955194,0.0,0.2768349515894123
202003,2020-03-05,1.0,63.37651079889356,0.00021862702229995628,0.2641341824491876
202003,2020-03-06,0.0,63.51956112398578,0.0,0.28754720449741766
202003,2020-03-07,0.0,66.23007877880782,0.0,0.7311771618117698
202003,2020-03-08,0.0,66.36982464552699,0.0,0.7540493437277189
202003,2020-03-09,0.0,63.70763043968077,0.0,0.31832847697704114
202003,2020-03-10,0.0,63.24655956289445,0.0,0.24286508605475005
202003,2020-03-11,0.0,64.45272869190119,0.0,0.44027857947480314
202003,2020-03-12,2.0,62.53717490665622,0.00043725404459991256,0.12676022165493359
202003,2020-03-13,5.0,64.09232650959142,0.0010931351114997813,0.3812916164237989
202003,2020-03-14,7.0,66.62266238573456,0.001530389156099694,0.7954312530822643
202003,2020-03-15,12.0,67.00016053495602,0.0026235242675994755,0.8572163100906316
202003,2020-03-16,45.0,65.91569219132292,0.009838216003498032,0.6797215632333906
202003,2020-03-17,3.0,65.99818181086664,0.0006558810668998689,0.693222625044206
202003,2020-03-18,11.0,64.81149776297218,0.002404897245299519,0.49899825149087973
202003,2020-03-19,31.0,65.83655127462323,0.006777437691298645,0.6667685830397954
202003,2020-03-20,57.0,66.30605084009267,0.012461740271097508,0.7436114959858786
202003,2020-03-21,19.0,66.80879160229183,0.004153913423699169,0.8258949898704607
202003,2020-03-22,38.0,67.02840744495995,0.008307826847398338,0.8618394769816542
202003,2020-03-23,53.0,65.82264508497514,0.011587232181897682,0.6644925593772985
202003,2020-03-24,40.0,65.96359115488639,0.00874508089199825,0.6875611783427998
202003,2020-03-25,53.0,65.87414220419787,0.011587232181897682,0.672921084003194
202003,2020-03-26,89.0,65.95392452966126,0.019457804984696108,0.6859790434585774
202003,2020-03-27,57.0,66.09057259664624,0.012461740271097508,0.7083442090260429
202003,2020-03-28,106.0,67.20408826164875,0.023174464363795364,0.8905931259645155
202003,2020-03-29,102.0,67.43678075396834,0.02229995627459554,0.928677866069957
202003,2020-03-30,44.0,66.2022517441113,0.009619588981198076,0.7266227158399297
202003,2020-03-31,113.0,66.33949012736868,0.02470485351989506,0.749084498369939
202004,2020-04-01,154.0,66.10451428891507,0.033668561434193264,0.710626043396355
202004,2020-04-02,145.0,66.24580493151596,0.031700918233493657,0.7337510585145712
202004,2020-04-03,153.0,66.27033810163857,0.03344993441189331,0.7377663982394081
202004,2020-04-04,175.0,67.17420074884754,0.03825972890249235,0.8857014418964759
202004,2020-04-05,114.0,67.49740743407493,0.024923480542195016,0.9386006243519226
202004,2020-04-06,138.0,65.71034386200746,0.030170529077393964,0.646112237573134
202004,2020-04-07,108.0,65.60795890937025,0.023611718408395276,0.6293549100245484
202004,2020-04-08,78.0,66.24249431963649,0.017052907739396588,0.7332092112389553
202004,2020-04-09,108.0,66.01389008896612,0.023611718408395276,0.6957935962128894
202004,2020-04-10,133.0,63.8188232046852,0.029077393965894184,0.3365273776574426
202004,2020-04-11,102.0,67.18664394521254,0.02229995627459554,0.887738017700525
202004,2020-04-12,71.0,67.47028809843854,0.015522518583296896,0.9341620073632599
202004,2020-04-13,64.0,66.31171955005142,0.013992129427197202,0.7445392927676321
202004,2020-04-14,47.0,66.49922635048658,0.010275470048097944,0.775228498471648
202004,2020-04-15,99.0,66.42857662890388,0.021644075207695672,0.7636652707191024
202004,2020-04-16,89.0,66.50502312148,0.019457804984696108,0.7761772549808682
202004,2020-04-17,85.0,66.60574356758794,0.018583296895496284,0.7926621530327433
202004,2020-04-18,100.0,67.19955757168417,0.021862702229995628,0.8898515887190316
202004,2020-04-19,64.0,67.41450212813663,0.013992129427197202,0.9250315272205649
202004,2020-04-20,68.0,66.65122207821352,0.014866637516397026,0.8001056130270571
202004,2020-04-21,67.0,66.4944196428569,0.01464801049409707,0.7744417854624981
202004,2020-04-22,216.0,66.47032530082043,0.04722343681679055,0.7704982686548736
202004,2020-04-23,179.0,66.55991703469026,0.039134236991692176,0.7851617322931499
202004,2020-04-24,204.0,66.61500416026604,0.04459991254919108,0.7941778326399889
202004,2020-04-25,145.0,67.21168514784945,0.031700918233493657,0.8918365070194013
202004,2020-04-26,10.0,67.34442044290832,0.0021862702229995625,0.9135612698802204
202004,2020-04-27,106.0,66.57141817076368,0.023174464363795364,0.7870441212516726
202004,2020-04-28,120.0,66.53039954557134,0.026235242675994752,0.7803306099374051
202004,2020-04-29,303.0,66.1877124135955,0.06624398775688675,0.7242430661207613
202004,2020-04-30,18.0,66.37051851318547,0.003935286401399213,0.7541629089277712
202005,2020-05-01,163.0,66.69466405849951,0.03563620463489287,0.8072157544517549
202005,2020-05-02,167.0,67.26734190988194,0.036510712724092696,0.9009458396669126
202005,2020-05-03,241.0,67.38773681515683,0.052689112374289464,0.9206508530590768
202005,2020-05-04,14.0,66.53631592421851,0.003060778312199388,0.7812989426106975
202005,2020-05-05,123.0,66.54302275345685,0.02689112374289462,0.7823966481959853
202005,2020-05-06,325.0,66.35891337045639,0.07105378224748579,0.7522634972178455
202005,2020-05-07,17.0,66.24957223877738,0.0037166593790992565,0.7343676530446224
202005,2020-05-08,138.0,66.07682771697486,0.030170529077393964,0.7060945869396282
202005,2020-05-09,248.0,67.17685771889408,0.05421950153038916,0.8861363077259743
202005,2020-05-10,125.0,67.53760822727565,0.027328377787494536,0.9451802812451043
202005,2020-05-11,299.0,66.31118791602663,0.06536947966768693,0.744452280318439
202005,2020-05-12,126.0,66.14187828021042,0.027547004809794492,0.716741401410704
202005,2020-05-13,48.0,66.20262736815187,0.010494097070397902,0.7266841941618984
202005,2020-05-14,261.0,66.26679627496215,0.057061652820288584,0.7371867080778325
202005,2020-05-15,47.0,66.03678315412206,0.010275470048097944,0.6995405002405598
202005,2020-05-16,325.0,67.06830277137723,0.07105378224748579,0.8683691381790473
202005,2020-05-17,193.0,67.35675243215601,0.04219501530389156,0.9155796444345512
202005,2020-05-18,18.0,66.22825300819318,0.003935286401399213,0.730878338250005
202005,2020-05-19,218.0,65.99440604198627,0.047660690861390465,0.692604645602438
202005,2020-05-20,152.0,66.04914754544302,0.03323130738959335,0.7015641780366355
202005,2020-05-21,40.0,66.11944380934067,0.00874508089199825,0.7130695554307992
202005,2020-05-22,243.0,65.78020553315403,0.053126366418889376,0.6575464852466458
