sid,longitude,latitude,stype,fwy,direc,abs_pm,state_pm
401230,-122.287675,37.996269,ML,80,W,21.736,8.403
401233,-122.324183,37.580145,ML,101,S,416.533,14.31
401234,-122.307952,37.89438,ML,80,W,13.05,7.74
401239,-122.308245,37.889597,ML,80,E,12.66,7.35
401240,-122.071851,37.613899,ML,880,S,24.477,14.25
401242,-122.301665,37.858593,ML,80,W,10.56,5.25
401243,-122.320607,37.969552,ML,80,E,18.833,5.5
401253,-122.323941,37.943406,ML,80,W,16.743,3.41
401256,-122.327891,37.952266,ML,80,W,17.393,4.06
401260,-122.317341,37.979209,ML,80,E,19.533,6.2
401269,-122.286591,37.996735,ML,80,E,21.803,8.47
401273,-122.279977,37.803541,ML,980,W,0.451,.46
401274,-122.263382,38.0216,ML,80,W,23.941,10.608
401277,-122.406392,37.74302,ML,101,N,430.824,2.53
715947,-118.17127,34.015325,ML,5,S,130.24,13.67
401279,-121.970029,37.767312,ML,680,N,34.823,3.45
401280,-122.060054,37.94137,ML,680,S,48.943,17.39
401282,-122.04788,37.969613,ML,242,N,1.029,R.77
401283,-122.060616,37.92803,ML,680,S,48.019,16.5
401285,-122.405853,37.744018,ML,101,S,430.94,2.61
401288,-121.970295,37.767277,ML,680,S,34.858,3.45
401289,-122.048119,37.969653,ML,242,S,1.029,R.77
401298,-122.283726,37.557273,ML,92,W,13.6,R12.874
401305,-122.274967,37.562748,ML,92,W,14.211,R13.485
401314,-121.993841,37.823575,ML,680,N,38.963,7.59
401318,-122.155877,38.202928,ML,80,E,38.962,11.49
401327,-121.914498,37.315095,ML,280,S,3.97,3.97
401328,-121.994013,37.823549,ML,680,S,38.998,7.59
401333,-122.283102,37.801768,ML,880,N,42.327,32.1
401336,-122.38319,37.604536,ML,101,N,420.337,18.15
401339,-122.28315,37.801684,ML,880,S,42.327,32.1
401343,-122.273387,37.563622,ML,92,E,14.316,R13.59
401344,-122.058992,37.889908,ML,680,S,44.929,13.41
401347,-121.966344,37.76122,ML,680,S,34.388,2.98
401351,-122.032879,37.401701,ML,237,W,2.707,2.65
401356,-121.944636,37.729031,ML,680,S,31.868,R.46
401357,-122.401258,37.723512,ML,101,S,429.43,1.1
401358,-122.40102,37.72349,ML,101,N,429.394,1.1
401359,-121.944384,37.729064,ML,680,N,31.833,R.46
401362,-122.003967,37.53065,ML,880,S,17.527,7.3
401366,-122.040144,37.868257,ML,680,S,43.108,R11.7
401373,-122.039906,37.868315,ML,680,N,43.073,R11.7
401381,-122.265611,37.835333,ML,24,E,0.773,2.62
401385,-122.130603,37.690755,ML,238,S,16.143,16.32
401388,-121.952438,37.316628,ML,280,S,6.082,4.7
401390,-122.267734,37.827408,ML,24,W,0.213,2.06
401391,-121.85467,37.337881,ML,280,S,0.18,.18
401392,-122.131038,37.690807,ML,238,N,16.143,16.32
401393,-122.043205,37.979004,ML,242,N,1.729,1.47
401394,-122.278481,37.560575,ML,92,W,13.966,R13.24
401395,-122.23699,38.046031,ML,80,W,26.171,12.838
401399,-122.043366,37.979212,ML,242,S,1.739,1.48
401400,-121.952427,37.316841,ML,280,N,6.082,4.7
401401,-122.043205,37.979004,ML,242,N,1.729,1.47
401402,-122.278316,37.560418,ML,92,E,13.966,R13.24
401403,-121.854583,37.338232,ML,280,N,0.18,.18
401405,-122.416414,37.769586,ML,101,S,434.139,R5.14
401407,-122.061541,37.921844,ML,680,N,47.542,16.05
401408,-122.405643,37.75869,ML,101,S,432.13,3.8
401409,-122.403503,37.756863,ML,101,N,431.824,3.53
401410,-122.403619,37.75671,ML,101,S,431.86,3.53
401411,-122.390874,37.609492,ML,101,N,420.877,18.69
401412,-121.818662,37.70086,ML,580,E,31.052,15.02
401413,-122.271468,37.814021,ML,980,E,1.301,1.31
401416,-122.271837,37.814242,ML,980,W,1.301,1.31
401420,-121.988319,37.800514,ML,680,S,37.358,R5.95
401421,-122.110074,38.145352,ML,680,S,65.208,R7.07
401422,-121.988095,37.800538,ML,680,N,37.323,R5.95
401423,-122.12582,37.893061,ML,24,W,10.398,6.05
401424,-122.109703,38.145138,ML,680,N,65.103,R7.07
401426,-122.32065,37.547452,ML,92,E,11.416,10.69
401431,-122.324375,37.546647,ML,92,W,11.206,10.48
401433,-121.885271,37.70139,ML,580,E,34.702,18.67
401434,-121.941236,37.724997,ML,680,N,31.503,R.13
401435,-122.302794,37.825581,FF,80,E,7.93,2.62
401437,-122.031123,37.857661,ML,680,S,42.218,10.81
401439,-122.285108,37.541393,ML,101,S,413.103,10.88
401440,-121.908804,37.356826,ML,880,S,3.44,3.44
401441,-121.9753,37.777505,ML,680,N,35.583,R4.21
401443,-122.271113,37.527313,ML,101,N,411.827,9.64
401444,-122.030894,37.857709,ML,680,N,42.183,10.81
401446,-122.287712,37.544196,ML,101,S,413.343,11.12
401447,-122.249717,37.811386,ML,580,W,59.785,43.7
401448,-122.397377,37.664884,ML,101,N,425.107,22.92
401450,-122.074491,37.61754,ML,880,S,24.767,14.54
401451,-122.397511,37.665037,ML,101,S,425.153,22.93
401452,-122.249829,37.811293,ML,580,E,59.633,43.7
401453,-122.332182,37.524638,ML,92,E,9.546,8.82
401454,-122.399154,37.717182,ML,101,S,428.98,.65
401457,-121.864784,37.279515,ML,87,S,1.72,1.73
401461,-121.964605,37.75851,ML,680,S,34.178,2.77
401462,-122.391216,37.690972,ML,101,S,427.103,24.88
401464,-121.916049,37.424833,ML,880,N,8.36,8.36
401467,-122.165291,37.474668,ML,101,S,404.773,2.55
401468,-121.974082,37.775076,ML,680,N,35.403,R4.03
401469,-122.39097,37.691221,ML,101,N,427.087,24.9
401470,-122.427875,37.731979,ML,280,S,53.083,3.11
