sid,longitude,latitude,stype,fwy,direc,abs_pm,state_pm
308511,-120.569835,38.761062,ML,50,E,60.162,31.627
308512,-120.569866,38.761182,ML,50,W,60.166,31.627
311831,-121.48412,38.409782,OR,5,S,506.189,10.896
311832,-121.48412,38.409782,FR,5,S,506.189,10.896
311844,-121.484363,38.412779,OR,5,N,506.398,11.105
311847,-121.487578,38.428258,OR,5,N,507.478,12.185
311864,-121.486808,38.424648,FR,5,N,507.226,11.933
311903,-121.505888,38.566906,ML,50,E,3.789,L0.633
311930,-121.505906,38.566911,FF,50,E,3.788,L0.632
311973,-121.495585,38.564153,OR,50,E,4.376,L1.22
311974,-121.495585,38.564153,ML,50,E,4.376,L1.22
312009,-121.495585,38.564153,FR,50,E,4.376,L1.22
312010,-121.493316,38.563816,ML,50,W,4.501,L1.345
312011,-121.493316,38.563816,OR,50,W,4.501,L1.345
312012,-121.493316,38.563816,FR,50,W,4.501,L1.345
312098,-121.476106,38.55902,ML,50,E,5.496,L2.34
312099,-121.476106,38.55902,OR,50,E,5.496,L2.34
312103,-121.462999,38.560995,ML,50,W,6.221,R0.587
312104,-121.462999,38.560995,OR,50,W,6.221,R0.587
312105,-121.462999,38.560995,FR,50,W,6.221,R0.587
312108,-121.476019,38.559248,FR,50,W,5.496,L2.34
312132,-121.48412,38.409782,ML,5,S,506.189,10.896
312133,-121.487572,38.428229,ML,5,N,507.476,12.183
312134,-121.484289,38.412421,ML,5,N,506.373,11.08
312139,-121.489577,38.562537,ML,50,E,4.722,L1.566
312141,-121.489577,38.562537,OR,50,E,4.722,L1.566
312142,-121.48948,38.562774,FR,50,W,4.722,L1.566
312188,-121.429758,38.551104,ML,50,W,8.165,R2.531
312189,-121.430183,38.551202,OR,50,W,8.141,R2.507
312205,-121.413693,38.552893,ML,50,W,9.063,R3.429
312207,-121.41058,38.553566,OR,50,W,9.238,R3.604
312208,-121.414475,38.552718,OR,50,W,9.019,R3.385
312220,-121.459539,38.560891,ML,50,W,6.409,R.775
312221,-121.459539,38.560891,OR,50,W,6.409,R.775
312233,-121.416935,38.468819,ML,99,N,291.631,17.161
312236,-121.437973,38.553882,ML,50,W,7.679,R2.045
312247,-121.439488,38.554652,OR,50,W,7.581,R1.947
312264,-121.381217,38.558665,ML,50,W,10.871,R5.237
312265,-121.381217,38.558665,OR,50,W,10.871,R5.237
312326,-121.502715,38.632748,ML,80,W,87.404,M3.499
312327,-121.502762,38.632724,OR,80,W,87.401,M3.496
312343,-121.501501,38.633055,ML,80,E,87.474,M3.569
312344,-121.501301,38.63316,OR,80,E,87.487,M3.582
312345,-121.503092,38.632213,FR,80,E,87.37,M3.465
312346,-121.499686,38.63434,ML,80,W,87.601,M3.696
312347,-121.499686,38.63434,OR,80,W,87.601,M3.696
312382,-121.421498,38.473227,ML,99,N,292.023,17.553
312383,-121.421498,38.473227,OR,99,N,292.023,17.553
312386,-121.425542,38.477038,ML,99,N,292.365,17.895
312387,-121.425542,38.477038,OR,99,N,292.365,17.895
312388,-121.430345,38.481528,ML,99,N,292.769,18.299
312420,-121.433775,38.484562,ML,99,S,293.021,18.576
312421,-121.437961,38.488691,ML,99,N,293.412,18.942
312422,-121.444522,38.494881,ML,99,N,293.967,19.497
312423,-121.444546,38.494903,OR,99,N,293.969,19.499
312424,-121.44399,38.494379,FR,99,N,293.922,19.452
312425,-121.447279,38.497462,ML,99,N,294.199,19.729
312426,-121.447279,38.497462,OR,99,N,294.199,19.729
312427,-121.447453,38.497373,FR,99,S,294.174,19.729
312439,-121.498277,38.634771,ML,80,E,87.685,M3.78
312440,-121.49817,38.634827,OR,80,E,87.692,M3.787
312513,-121.45279,38.502687,ML,99,N,294.666,20.196
312514,-121.459013,38.509079,ML,99,N,295.223,20.753
312515,-121.459013,38.509079,OR,99,N,295.223,20.753
312517,-121.459962,38.510121,ML,99,S,295.283,20.838
312518,-121.459371,38.509064,OR,99,S,295.204,20.759
312519,-121.459962,38.510121,FR,99,S,295.283,20.838
312520,-121.46048,38.511704,ML,99,N,295.421,20.951
312521,-121.46048,38.511704,OR,99,N,295.421,20.951
312523,-121.464889,38.519527,ML,99,S,295.985,21.54
312524,-121.464889,38.519527,FR,99,S,295.985,21.54
312525,-121.46665,38.52335,ML,99,N,296.291,21.821
312526,-121.46665,38.52335,OR,99,N,296.291,21.821
404745,-122.231409,38.089363,ML,80,W,29.542,2.07
312527,-121.468176,38.526244,ML,99,N,296.507,22.037
312528,-121.468176,38.526244,OR,99,N,296.507,22.037
312529,-121.468176,38.526244,FR,99,N,296.507,22.037
312530,-121.472307,38.533524,ML,99,S,297.031,22.586
312562,-121.473702,38.542279,ML,99,N,297.672,23.202
312563,-121.473703,38.542468,OR,99,N,297.685,23.215
312564,-121.473985,38.545423,ML,99,S,297.864,23.419
312566,-121.474179,38.555907,ML,99,N,298.615,24.145
312569,-121.474196,38.555618,FF,99,N,298.595,24.125
312648,-121.409707,38.455428,ML,99,N,290.624,16.154
312649,-121.409707,38.455428,OR,99,N,290.624,16.154
312650,-121.409707,38.455428,FR,99,N,290.624,16.154
312651,-121.410442,38.456958,ML,99,N,290.737,16.267
312652,-121.410475,38.457026,OR,99,N,290.742,16.272
312689,-121.46946,38.56768,ML,51,N,0.649,0.649
312692,-121.46946,38.56768,OR,51,N,0.649,0.649
312694,-121.465994,38.575691,ML,51,N,1.233,1.233
312706,-121.466199,38.575227,OR,51,N,1.199,1.199
312709,-121.466505,38.574513,FR,51,N,1.147,1.147
312745,-121.46446,38.579355,ML,51,N,1.5,1.5
312746,-121.46446,38.579355,OR,51,N,1.5,1.5
312757,-121.443773,38.596555,ML,51,S,3.326,3.326
312758,-121.443773,38.596555,OR,51,S,3.326,3.326
312771,-121.443157,38.597705,ML,51,S,3.411,3.411
312772,-121.443157,38.597705,OR,51,S,3.411,3.411
312773,-121.443157,38.597705,FR,51,S,3.411,3.411
312782,-121.43308,38.605082,ML,51,N,4.206,4.206R
312804,-121.428176,38.609733,ML,51,N,4.612,4.612
312805,-121.428176,38.609733,OR,51,N,4.612,4.612
312806,-121.428176,38.609733,FR,51,N,4.612,4.612
312807,-121.424576,38.612976,ML,51,N,4.909,4.909
312808,-121.424256,38.613271,OR,51,N,4.936,4.936
312854,-121.467078,38.573898,ML,51,S,1.097,1.097
312855,-121.467078,38.573898,OR,51,S,1.097,1.097
312856,-121.456996,38.584861,ML,51,S,2.092,2.092
312857,-121.449127,38.58611,ML,51,S,2.53,2.53
312858,-121.438319,38.600789,ML,51,N,3.758,3.758
312865,-121.444782,38.593388,ML,51,N,3.101,3.101
312895,-121.419484,38.61932,ML,51,N,5.447,5.447
312896,-121.41574,38.624622,ML,51,N,5.91,5.91
312897,-121.415556,38.624694,FR,51,N,5.921,5.921
312898,-121.411041,38.626546,ML,51,N,6.194,6.194
312899,-121.411123,38.626511,FR,51,N,6.189,6.189
312900,-121.402163,38.630571,ML,51,S,6.725,6.743
312901,-121.402163,38.630571,OR,51,S,6.725,6.743
312940,-121.399941,38.631139,ML,51,N,6.869,6.869
312941,-121.399941,38.631139,OR,51,N,6.869,6.869
312942,-121.388222,38.635728,ML,51,S,7.565,7.583
312943,-121.388511,38.635576,OR,51,S,7.546,7.564
312944,-121.384478,38.638497,ML,51,N,7.863,7.863
312945,-121.384478,38.638497,OR,51,N,7.863,7.863
312946,-121.383432,38.639721,ML,51,S,7.947,7.965
312947,-121.383432,38.639721,OR,51,S,7.947,7.965
313000,-121.37871,38.558938,ML,50,W,11.008,R5.374
313001,-121.37871,38.558938,OR,50,W,11.008,R5.374
313002,-121.37871,38.558938,FR,50,W,11.008,R5.374
313003,-121.336473,38.565998,ML,50,W,13.375,R7.741
313004,-121.336473,38.565998,OR,50,W,13.375,R7.741
313005,-121.334983,38.566723,ML,50,W,13.47,R7.836
313006,-121.334983,38.566723,OR,50,W,13.47,R7.836
313007,-121.334983,38.566723,FR,50,W,13.47,R7.836
313010,-121.307113,38.579132,ML,50,W,15.205,R9.571
313011,-121.307429,38.578957,OR,50,W,15.184,R9.55
313012,-121.305839,38.579894,FR,50,W,15.292,R9.658
313035,-121.288588,38.590372,ML,50,W,16.477,R10.843
313036,-121.288152,38.590638,OR,50,W,16.507,R10.873
313037,-121.286115,38.591859,ML,50,W,16.646,R11.012
313038,-121.28635,38.591718,OR,50,W,16.63,R10.996
313054,-121.217366,38.630616,OR,50,E,21.405,15.735
313055,-121.216679,38.630971,ML,50,E,21.449,15.779
313056,-121.216148,38.631246,OR,50,E,21.483,15.813
313080,-121.217801,38.630603,ML,50,W,21.385,15.715
313081,-121.219562,38.629672,OR,50,W,21.27,15.6
313082,-121.216123,38.631488,ML,50,W,21.493,15.823
313083,-121.216201,38.631447,OR,50,W,21.488,15.818
313084,-121.214837,38.632165,FR,50,W,21.575,15.905
313111,-121.479317,38.640373,ML,80,E,88.802,M4.897
313112,-121.479007,38.640413,OR,80,E,88.819,M4.914
313113,-121.479518,38.64035,FR,80,E,88.791,M4.886
313114,-121.476084,38.640759,ML,80,E,88.979,M5.074
313115,-121.476175,38.64075,OR,80,E,88.974,M5.069
313132,-121.45372,38.641164,ML,80,E,90.194,M6.289
313133,-121.453683,38.641163,OR,80,E,90.196,M6.291
313144,-121.466872,38.523271,ML,99,S,296.265,21.82
313159,-121.490799,38.443682,ML,5,N,508.554,13.261
313166,-121.394785,38.422588,ML,99,N,288.217,13.747
313172,-121.395775,38.424808,ML,99,N,288.379,13.909
313178,-121.398905,38.431706,ML,99,N,288.884,14.414
313184,-121.381501,38.641262,ML,51,N,8.112,8.112
313190,-121.388824,38.409665,ML,99,N,287.271,12.801
313197,-121.428381,38.609855,ML,51,S,4.594,4.612
313204,-121.42621,38.611777,ML,51,S,4.772,4.79
313339,-121.199419,38.639657,ML,50,W,22.539,16.869
313344,-121.159864,38.642303,ML,50,W,24.737,19.067
313349,-121.155977,38.642136,ML,50,W,24.951,19.281
313368,-121.367632,38.654384,ML,80,W,95.364,11.864
313376,-121.367313,38.654139,ML,80,E,95.364,11.864
313386,-121.353312,38.667724,ML,80,W,96.567,13.067
313393,-121.352565,38.667783,ML,80,E,96.6,13.1
313405,-121.345412,38.674994,ML,80,W,97.226,13.726
313406,-121.345118,38.674634,ML,80,E,97.225,13.725
313414,-121.330476,38.688614,ML,80,W,98.465,14.965
313420,-121.330355,38.68816,ML,80,E,98.461,14.961
313426,-121.330501,38.688592,ML,80,W,98.463,14.963
313432,-121.330331,38.688182,ML,80,E,98.463,14.963
313438,-121.311747,38.70566,ML,80,W,100.017,16.517
313444,-121.312447,38.704565,ML,80,E,99.96,16.46
313450,-121.309389,38.707798,ML,80,W,100.212,16.712
313456,-121.309709,38.707089,ML,80,E,100.19,16.69
313468,-121.300485,38.71594,ML,80,W,100.953,17.453
313469,-121.303606,38.712665,ML,80,E,100.7,17.200
313475,-121.297519,38.718232,ML,80,E,101.209,17.709
313482,-121.297325,38.718773,ML,80,W,101.213,17.713
313487,-121.399411,38.640414,ML,80,W,93.29,M9.385
313493,-121.290759,38.724578,ML,80,W,101.749,0.249
313512,-121.289214,38.725984,ML,80,W,101.877,0.377
313551,-121.155374,38.641851,ML,50,E,24.984,19.314
313552,-121.151424,38.641689,ML,50,E,25.196,19.526
313560,-121.318965,38.69913,ML,80,W,99.421,15.921
313567,-121.318884,38.698664,ML,80,E,99.421,15.921
313576,-121.159864,38.642303,OR,50,W,24.737,19.067
313579,-121.155977,38.642136,OR,50,W,24.951,19.281
313601,-121.181267,38.641958,ML,50,W,23.549,17.879
313606,-121.181256,38.641762,ML,50,E,23.549,17.879
313612,-121.228254,38.625123,ML,50,W,20.704,15.034
313618,-121.228112,38.624931,ML,50,E,20.704,15.034
313625,-121.253517,38.615523,ML,50,W,19.184,13.514
313631,-121.253397,38.615299,ML,50,E,19.184,13.514
313640,-121.189439,38.640953,ML,50,W,23.092,17.422
313646,-121.189423,38.640768,ML,50,E,23.092,17.422
313652,-121.299476,38.583757,ML,50,W,15.729,R10.095
313658,-121.299367,38.583616,ML,50,E,15.729,R10.095
313671,-121.439034,38.554125,ML,50,E,7.616,R1.982
313684,-121.428589,38.55068,ML,50,E,8.232,R2.598
313698,-121.414129,38.552553,ML,50,E,9.035,R3.401
313728,-121.462558,38.560761,ML,50,E,6.249,R0.615
313740,-121.308533,38.578137,ML,50,E,15.102,R9.468
313747,-121.372167,38.5596,ML,50,W,11.365,R5.731
313753,-121.372086,38.559377,ML,50,E,11.365,R5.731
313765,-121.328012,38.569862,ML,50,E,13.906,R8.272
313790,-121.328152,38.570082,ML,50,W,13.906,R8.272
313822,-121.558708,38.575318,ML,50,W,0.576,0.576
313824,-121.558706,38.57515,ML,50,E,0.576,0.576
313835,-121.526504,38.577184,ML,50,W,2.39,2.39
313840,-121.526523,38.577018,ML,50,E,2.39,2.39
313846,-121.347761,38.562181,ML,50,W,12.698,R7.064
313852,-121.347837,38.561939,ML,50,E,12.689,R7.055
313861,-121.321505,38.573027,ML,50,W,14.319,R8.685
313867,-121.321383,38.572854,ML,50,E,14.319,8.685
313874,-121.379661,38.558835,ML,50,W,10.956,5.322
313890,-121.361758,38.560673,ML,50,W,11.933,R6.299
313897,-121.36168,38.560476,ML,50,E,11.933,R6.299
313904,-121.242093,38.619887,ML,50,W,19.872,14.202
313912,-121.242008,38.619685,ML,50,E,19.87,14.2
313931,-121.394106,38.557205,ML,50,W,10.166,R4.532
313938,-121.393992,38.556988,ML,50,E,10.168,R4.534
313951,-121.456903,38.584731,ML,51,N,2.092,2.092
313956,-121.472642,38.560283,ML,51,N,0.111,0.111
313965,-121.400009,38.631273,FR,51,S,6.851,6.869
313979,-121.697581,38.5522,ML,80,W,74.694,2.507
313980,-121.697581,38.5522,OR,80,W,74.694,2.507
313981,-121.697581,38.5522,FR,80,W,74.694,2.507
314000,-120.94421,39.114317,ML,80,E,135.932,34.447
314001,-120.944331,39.114294,ML,80,W,135.932,34.447
314013,-121.695597,38.552253,ML,80,E,74.792,2.605
314014,-121.695597,38.552253,OR,80,E,74.792,2.605
314015,-121.695597,38.552253,FR,80,E,74.792,2.605
314025,-121.693658,38.55267,ML,80,E,74.901,2.714
314026,-121.692126,38.553139,OR,80,E,74.99,2.803
314036,-121.269079,38.609417,ML,50,E,18.244,12.574
314042,-121.270954,38.608682,ML,50,E,18.13,12.460
314059,-121.271469,38.60874,ML,50,W,18.106,12.436
314060,-121.271452,38.608746,OR,50,W,18.107,12.437
314061,-121.26914,38.609618,FR,50,W,18.245,12.575
314078,-121.271469,38.60874,OR,50,W,18.106,12.436
314098,-121.395775,38.424808,OR,99,N,288.379,13.909
314107,-121.388824,38.409665,OR,99,N,287.271,12.801
314114,-121.394785,38.422588,OR,99,N,288.217,13.747
314115,-121.394785,38.422588,FR,99,N,288.217,13.747
314121,-121.449053,38.585989,ML,51,N,2.529,2.529
314129,-121.426465,38.611553,OR,51,S,4.751,4.769
314131,-121.425301,38.612592,FR,51,S,4.848,4.866
314138,-121.428381,38.609855,OR,51,S,4.594,4.612
314145,-121.443024,38.597649,FR,51,N,3.411,3.411
314147,-121.443024,38.597649,ML,51,N,3.411,3.411
314157,-121.438281,38.601001,ML,51,S,3.763,3.763
314159,-121.438056,38.60135,ML,160,S,49.279,46.678
314160,-121.625883,38.165058,FR,160,N,15.868,3.758
314165,-121.381619,38.645697,ML,80,W,94.358,R10.733
314171,-121.381619,38.645697,OR,80,W,94.358,R10.733
314177,-121.400686,38.639643,OR,80,W,93.202,M9.297
314182,-121.311747,38.70566,OR,80,W,100.017,16.517
314190,-121.309389,38.707798,OR,80,W,100.212,16.712
314194,-121.47281,38.559913,FF,51,N,0.081,0.081
314195,-121.472679,38.560201,FR,51,N,0.105,0.105
314201,-121.290759,38.724578,OR,80,W,101.749,0.249
314204,-121.289214,38.725984,OR,80,W,101.877,0.377
314217,-121.224234,38.787309,ML,80,W,107.449,5.949
314218,-121.224234,38.787309,OR,80,W,107.449,5.949
314230,-121.113672,38.643465,ML,50,W,27.228,21.558
314231,-121.113672,38.643465,OR,50,W,27.228,21.558
314241,-121.116814,38.643335,ML,50,W,27.053,21.383
314242,-121.117466,38.643307,OR,50,W,27.018,21.348
314248,-121.112271,38.643258,ML,50,E,27.309,21.639
314254,-120.161314,39.34303,ML,80,E,187.691,17.126
314255,-120.161488,39.343101,ML,80,W,187.946,17.125
314262,-121.199603,38.639623,OR,50,W,22.529,16.859
314270,-121.448474,38.557621,ML,50,E,7.047,R1.413
314277,-120.034939,39.422168,ML,80,E,200.071,29.506
314291,-121.269079,38.609417,OR,50,E,18.244,12.574
314297,-121.270954,38.608682,OR,50,E,18.13,12.460
314355,-121.572252,39.121638,ML,70,E,19.311,R11.064
314371,-121.410326,38.553402,ML,50,E,9.249,R3.615
314379,-121.116385,38.643088,ML,50,E,27.075,21.405
314380,-121.116068,38.643106,OR,50,E,27.092,21.422
314419,-121.336101,38.683477,ML,80,W,97.998,14.498
314420,-121.336101,38.683477,OR,80,W,97.998,14.498
314421,-121.336101,38.683477,FR,80,W,97.998,14.498
314433,-121.33798,38.681781,ML,80,W,97.843,14.343
314434,-121.33798,38.681781,OR,80,W,97.843,14.343
314446,-121.335012,38.683947,ML,80,E,98.074,14.574
314447,-121.335012,38.683947,OR,80,E,98.074,14.574
314460,-121.336967,38.682188,ML,80,E,97.912,14.412
314461,-121.336967,38.682188,OR,80,E,97.912,14.412
314462,-121.336967,38.682188,FR,80,E,97.912,14.412
314485,-121.359735,38.661506,ML,80,W,96.015,12.515
314486,-121.359735,38.661506,OR,80,W,96.015,12.515
314491,-121.361406,38.659994,ML,80,W,95.877,12.377
314492,-121.361406,38.659994,OR,80,W,95.877,12.377
314501,-121.421128,38.472569,ML,99,S,291.947,17.502
314502,-121.421128,38.472569,OR,99,S,291.947,17.502
314503,-121.421128,38.472569,FR,99,S,291.947,17.502
314509,-121.546334,38.60021,ML,80,E,84.066,0.161
314514,-121.384187,38.644777,ML,80,E,94.205,R10.3
314521,-121.451139,38.600099,ML,160,N,48.588,45.987
314536,-121.288788,38.590016,ML,50,E,16.456,R10.822
314548,-121.578333,38.574032,ML,80,E,81.316,9.129
314549,-121.5777,38.57412,OR,80,E,81.352,9.165
314559,-121.40731,38.554083,ML,50,E,9.419,R3.785
314560,-121.40731,38.554083,OR,50,E,9.419,R3.785
314566,-121.410326,38.553402,OR,50,E,9.249,R3.615
314575,-121.451139,38.600099,OR,160,N,48.588,45.987
314576,-121.451139,38.600099,FR,160,N,48.588,45.987
314580,-121.450708,38.60025,ML,160,S,48.588,45.987
314598,-121.415948,38.624689,ML,51,S,5.892,5.91
314599,-121.418548,38.623445,FR,51,S,5.729,5.747
314615,-121.416935,38.468819,FR,99,N,291.631,17.161
314616,-121.416017,38.46754,OR,99,S,291.502,17.057
314617,-121.416017,38.46754,ML,99,S,291.502,17.057
314618,-121.467078,38.573898,FR,51,S,1.097,1.097
314621,-121.558708,38.575318,FF,50,W,0.576,0.576
314646,-121.432876,38.605305,OR,51,N,4.224,4.224R
314647,-121.433599,38.605094,OR,51,S,4.162,4.162R
314649,-121.433281,38.605397,FR,51,S,4.189,4.189L
314650,-121.433834,38.604246,FR,51,N,4.139,4.139R
314652,-121.491193,38.443625,ML,5,S,508.554,13.261
314666,-121.335447,38.566218,OR,50,E,13.433,R7.799
314668,-121.335447,38.566218,ML,50,E,13.433,R7.799
314679,-121.410983,38.457616,OR,99,S,290.763,16.318
314680,-121.410983,38.457616,FR,99,S,290.763,16.318
314681,-121.410983,38.457616,ML,99,S,290.763,16.318
314688,-121.395078,38.422772,OR,99,S,288.209,13.764
314689,-121.395078,38.422772,ML,99,S,288.209,13.764
314697,-121.391936,38.41632,ML,99,N,287.759,13.289
314698,-121.391936,38.41632,ML,99,N,287.759,13.289
314711,-121.337216,38.565351,ML,50,E,13.32,R7.686
314712,-121.337216,38.565351,ML,50,E,13.32,R7.686
314719,-121.285685,38.787222,OR,65,S,66.907,R7.189
314723,-121.285685,38.787222,FR,65,S,66.907,R7.189
314724,-121.285685,38.787222,ML,65,S,66.907,R7.189
314726,-121.337216,38.565351,OR,50,E,13.32,R7.686
314730,-121.388824,38.409665,ML,99,N,287.271,12.801
314751,-121.447453,38.497373,OR,99,S,294.174,19.729
314768,-121.514043,38.489846,ML,5,N,512.064,16.771
314773,-121.514316,38.489782,ML,5,S,512.064,16.771
314780,-121.521912,38.510081,ML,5,N,513.537,18.244
314786,-121.522187,38.510029,ML,5,S,513.537,18.244
314792,-121.51713,38.533567,ML,5,N,515.217,19.924
314799,-121.517368,38.533625,ML,5,S,515.217,19.924
314803,-121.51041,38.568955,FF,5,S,517.904,22.611
314808,-121.510147,38.568913,ML,5,N,517.908,22.615
314821,-121.504305,38.59013,ML,5,N,519.478,24.185
314828,-121.504623,38.590137,ML,5,S,519.478,24.185
314835,-121.513859,38.55921,ML,5,N,517.159,21.866
314843,-121.514189,38.559254,ML,5,S,517.159,21.866
314848,-121.509639,38.548243,ML,5,N,516.368,21.075
314853,-121.509944,38.54827,ML,5,S,516.368,21.075
314867,-121.509705,38.480194,OR,5,N,511.354,16.061
314868,-121.508713,38.479016,FR,5,N,511.255,15.962
314869,-121.509705,38.480194,OR,5,N,511.354,16.061
314876,-121.509724,38.480219,ML,5,N,511.356,16.063
314877,-121.509949,38.480069,ML,5,S,511.352,16.059
314885,-121.510962,38.482406,OR,5,N,511.523,16.23
314886,-121.510962,38.482406,ML,5,N,511.523,16.23
314896,-121.515973,38.494489,OR,5,N,512.402,17.109
314897,-121.515973,38.494489,FR,5,N,512.402,17.109
314898,-121.515973,38.494489,FR,5,N,512.402,17.109
314899,-121.515973,38.494489,ML,5,N,512.402,17.109
314909,-121.517203,38.498603,ML,5,N,512.695,17.402
314910,-121.517203,38.498603,OR,5,N,512.695,17.402
314911,-121.517451,38.498579,FR,5,S,512.695,17.402
314912,-121.517451,38.498579,FR,5,S,512.695,17.402
314922,-121.521864,38.516925,OR,5,N,514.011,18.718
314923,-121.521864,38.516925,ML,5,N,514.011,18.718
314934,-121.52084,38.526156,OR,5,N,514.656,19.363
314935,-121.521086,38.526211,FR,5,S,514.656,19.363
314936,-121.52084,38.526156,ML,5,N,514.656,19.363
314942,-121.507948,38.56772,OR,50,W,3.664,L0.508
314943,-121.508107,38.56776,FF,50,W,3.655,L0.499
314954,-121.507614,38.57689,OR,5,N,518.481,23.188
314955,-121.507614,38.57689,ML,5,N,518.481,23.188
314956,-121.507861,38.576947,FR,5,S,518.481,23.188
314967,-121.51023,38.541335,OR,5,N,515.878,20.585
314968,-121.51023,38.541335,ML,5,N,515.878,20.585
314969,-121.510511,38.541441,FR,5,S,515.878,20.585
314981,-121.504268,38.581084,OR,5,N,518.826,23.533
314982,-121.504268,38.581084,ML,5,N,518.826,23.533
314983,-121.504268,38.581084,FR,5,N,518.826,23.533
314993,-121.512458,38.614683,OR,5,S,521.26,25.967
314994,-121.512458,38.614683,ML,5,S,521.26,25.967
315005,-121.513034,38.6158,OR,5,S,521.343,26.05
315006,-121.513873,38.617489,ML,5,S,521.468,26.175
315016,-121.502951,38.58608,OR,5,N,519.188,23.895
315017,-121.502951,38.58608,ML,5,N,519.188,23.895
315030,-121.50418,38.59567,ML,5,S,519.861,24.568
315031,-121.504177,38.595699,OR,5,S,519.863,24.57
315032,-121.503959,38.594805,FR,5,N,519.801,24.508
315042,-121.508425,38.607001,ML,5,S,520.688,25.395
315043,-121.508425,38.607001,OR,5,S,520.688,25.395
315044,-121.508425,38.607001,FR,5,S,520.688,25.395
315053,-121.508402,38.60756,OR,5,N,520.725,25.432
315054,-121.508402,38.60756,ML,5,N,520.725,25.432
315055,-121.508402,38.60756,FR,5,N,520.725,25.432
315060,-121.487996,38.428356,ML,5,S,507.486,12.193
315076,-121.499686,38.63434,FR,80,W,87.601,M3.696
315098,-121.129685,38.642728,ML,50,W,26.362,20.692
315105,-121.129621,38.642469,ML,50,E,26.365,20.695
315804,-121.54454,38.602902,ML,80,E,84.276,M0.371
315822,-121.425542,38.477038,HV,99,N,292.365,17.895
315823,-121.395775,38.424808,HV,99,N,288.379,13.909
315824,-121.459962,38.510121,HV,99,S,295.283,20.838
315825,-121.473702,38.542279,HV,99,N,297.672,23.202
315826,-121.398781,38.431418,HV,99,N,288.863,14.393
315827,-121.394785,38.422588,HV,99,N,288.217,13.747
315828,-121.388824,38.409665,HV,99,N,287.271,12.801
315830,-121.388824,38.409665,HV,99,N,287.271,12.801
315831,-121.391936,38.41632,HV,99,N,287.759,13.289
315832,-121.391936,38.41632,HV,99,N,287.759,13.289
315833,-121.395078,38.422772,HV,99,S,288.209,13.764
315835,-121.410983,38.457616,HV,99,S,290.763,16.318
315836,-121.416935,38.468819,HV,99,N,291.631,17.161
315837,-121.416017,38.46754,HV,99,S,291.502,17.057
315838,-121.421498,38.473227,HV,99,N,292.023,17.553
315839,-121.421128,38.472569,HV,99,S,291.947,17.502
315841,-121.409707,38.455428,HV,99,N,290.624,16.154
315842,-121.410442,38.456958,HV,99,N,290.737,16.267
315843,-121.430345,38.481528,HV,99,N,292.769,18.299
315846,-121.433775,38.484562,HV,99,S,293.021,18.576
315847,-121.437961,38.488691,HV,99,N,293.412,18.942
315849,-121.445343,38.495666,HV,99,N,294.037,19.567
315850,-121.447279,38.497462,HV,99,N,294.199,19.729
315852,-121.45279,38.502687,HV,99,N,294.666,20.196
315853,-121.459013,38.509079,HV,99,N,295.223,20.753
315854,-121.464889,38.519527,HV,99,S,295.985,21.54
315855,-121.46665,38.52335,HV,99,N,296.291,21.821
315856,-121.468176,38.526244,HV,99,N,296.507,22.037
315857,-121.472307,38.533524,HV,99,S,297.031,22.586
315858,-121.466872,38.523271,HV,99,S,296.265,21.82
315860,-121.467078,38.573898,HV,51,S,1.097,1.097
315862,-121.384187,38.644777,HV,80,E,94.205,R10.3
315863,-121.367313,38.654139,HV,80,E,95.364,11.864
315864,-121.352565,38.667783,HV,80,E,96.6,13.1
315865,-121.345118,38.674634,HV,80,E,97.225,13.725
315866,-121.336967,38.682188,HV,80,E,97.912,14.412
315867,-121.335012,38.683947,HV,80,E,98.074,14.574
315868,-121.330782,38.687764,HV,80,E,98.425,14.925
315869,-121.330331,38.688182,HV,80,E,98.463,14.963
315870,-121.318884,38.698664,HV,80,E,99.421,15.921
315871,-121.312447,38.704565,HV,80,E,99.96,16.46
315873,-121.46048,38.511704,HV,99,N,295.421,20.951
315874,-121.473998,38.546046,HV,99,S,297.907,23.462
315875,-121.474029,38.554053,HV,99,N,298.486,24.016
315876,-121.309709,38.707089,HV,80,E,100.19,16.69
315877,-121.303606,38.712665,HV,80,E,100.7,17.200
315878,-121.297471,38.718275,HV,80,E,101.213,17.713
315879,-121.472146,38.561408,HV,51,N,0.193,0.193
315880,-121.381619,38.645697,HV,80,W,94.358,R10.733
315881,-121.367632,38.654384,HV,80,W,95.364,11.864
315882,-121.361406,38.659994,HV,80,W,95.877,12.377
315883,-121.359735,38.661506,HV,80,W,96.015,12.515
315884,-121.353536,38.667511,HV,80,W,96.548,13.048
315885,-121.345412,38.674994,HV,80,W,97.226,13.726
315886,-121.33798,38.681781,HV,80,W,97.843,14.343
315887,-121.336101,38.683477,HV,80,W,97.998,14.498
315888,-121.329683,38.689321,HV,80,W,98.53,15.03
315889,-121.330501,38.688592,HV,80,W,98.463,14.963
315890,-121.318965,38.69913,HV,80,W,99.421,15.921
315891,-121.311747,38.70566,HV,80,W,100.017,16.517
315892,-121.309389,38.707798,HV,80,W,100.212,16.712
315893,-121.300485,38.71594,HV,80,W,100.953,17.453
315894,-121.270954,38.608682,HV,50,E,18.13,12.460
315895,-121.269079,38.609417,HV,50,E,18.244,12.574
315896,-121.253397,38.615299,HV,50,E,19.184,13.514
315897,-121.242008,38.619685,HV,50,E,19.87,14.2
