tmonth,ttime,aspeed,aflow,sflow
202001,00:00:00,67.940914357948,38.76017840076457,608341
202001,00:05:00,67.63950279153059,38.28418640183346,601368
202001,00:10:00,67.50291793953444,38.16886258035771,599671
202001,00:15:00,67.41054461181915,36.700598421186655,576493
202001,00:20:00,67.31631728642157,34.43967657732221,540944
202001,00:25:00,67.28519962077318,32.13930094862163,504812
202001,00:30:00,67.23534183082262,30.395785586962056,477457
202001,00:35:00,67.2058885494575,29.59226019985997,464924
202001,00:40:00,67.17196881912984,29.128763286869074,457642
202001,00:45:00,67.17574001896139,28.327540106951872,444969
202001,00:50:00,67.16143474138832,27.232889794359203,427747
202001,00:55:00,67.11628568418824,25.68022663610899,403385
202001,01:00:00,67.2120299167807,24.485103132161957,384612
202001,01:05:00,67.23198146002298,24.171632289279348,379688
202001,01:10:00,67.24744548614757,23.810415075120957,374014
202001,01:15:00,67.23879700832187,23.208747135217724,364563
202001,01:20:00,67.17885810597284,22.375565034697907,351453
202001,01:25:00,67.14511745496681,21.698752228163993,340844
202001,01:30:00,67.1123986095018,21.379933791698498,335836
202001,01:35:00,67.08290319182554,21.870257193786607,343538
202001,01:40:00,67.09213104392707,22.16386554621849,348150
202001,01:45:00,67.10205414515966,21.638215263191395,339958
202001,01:50:00,67.08202886337303,21.13818343835529,332102
202001,01:55:00,67.05922258506257,20.371865054105665,320042
202001,02:00:00,67.10302328031186,20.052320030551844,315042
202001,02:05:00,67.13914463288741,20.165298198714275,316817
202001,02:10:00,67.13059096176134,20.287141947803946,318711
202001,02:15:00,67.12468134414824,20.200305518426582,317367
202001,02:20:00,67.10926998841232,20.08860598345003,315592
202001,02:25:00,67.09189929421676,20.122406110757478,316123
202001,02:30:00,67.05301801327286,20.362149086510918,319869
202001,02:35:00,67.09009796692305,21.09675981921192,331409
202001,02:40:00,67.12744127251648,21.81839592616168,342767
202001,02:45:00,67.14988939218362,21.83716340951047,343040
202001,02:50:00,67.15293374065094,21.291406747294715,334488
202001,02:55:00,67.10209628147054,20.381604073838318,320195
202001,03:00:00,67.0570630991256,19.975175047740294,313810
202001,03:05:00,66.98985568313489,20.31137419642289,319112
202001,03:10:00,66.9798377752027,21.079243841894215,331176
202001,03:15:00,67.01580111661224,22.047037107758896,346381
202001,03:20:00,66.9827978510481,22.9524506683641,360583
202001,03:25:00,66.99866217212681,23.909808414486665,375647
202001,03:30:00,66.97277994311584,25.32792207792208,397851
202001,03:35:00,67.01270409775613,27.280412502387165,428548
202001,03:40:00,67.03279258400943,29.28995288424806,460028
202001,03:45:00,67.09113030654173,30.238271054809346,475013
202001,03:50:00,67.0893816496365,30.51206314851359,479314
202001,03:55:00,67.01391551669641,29.611868075894563,465084
202001,04:00:00,66.90198040661545,29.44426761728945,462540
202001,04:05:00,66.91169282629295,31.661934169478577,497314
202001,04:10:00,66.98322974823564,35.11674092934437,551684
202001,04:15:00,67.06707047298006,38.956076134699856,611961
202001,04:20:00,67.15669440640463,42.77262018465457,671744
202001,04:25:00,67.19431159801945,47.1738189227047,740912
202001,04:30:00,67.25418729590231,52.47968929071693,824246
202001,04:35:00,67.35253344569688,59.54972621927926,935288
202001,04:40:00,67.44912040450858,66.08799185024832,1037978
202001,04:45:00,67.57665648372475,71.1059737613043,1116506
202001,04:50:00,67.59331086063423,72.67220630372493,1141317
202001,04:55:00,67.53118087011477,71.94765664798777,1129866
202001,05:00:00,67.62625092173184,74.06781279847182,1163235
202001,05:05:00,67.66187717265355,81.11263211511525,1273955
202001,05:10:00,67.66977773095967,90.83546641197071,1426571
202001,05:15:00,67.63834404297907,100.41241642788921,1576977
202001,05:20:00,67.58637943748028,109.27632751814593,1716294
202001,05:25:00,67.49855683134949,117.46593658474468,1844920
202001,05:30:00,67.29381649636571,125.64552690226043,1973263
202001,05:35:00,67.03248709575477,135.76410289061505,2132311
202001,05:40:00,66.75543031707576,144.85109498344792,2275321
202001,05:45:00,66.46605920151677,147.4075630252101,2315478
202001,05:50:00,66.24174655008963,148.86867400853015,2338578
202001,05:55:00,66.01182976930367,146.0452664417139,2293933
202001,06:00:00,64.93513114926797,145.54736440030558,2286258
202001,06:05:00,64.23265564099867,153.94766997708174,2418210
202001,06:10:00,63.65773728010123,163.6094346829641,2569977
202001,06:15:00,63.114642368060544,170.21792831221748,2673613
202001,06:20:00,62.512050984936224,173.7585153116445,2729225
202001,06:25:00,61.96027599283684,175.4992361553151,2757093
202001,06:30:00,61.561687559254224,179.45178537330534,2819367
202001,06:35:00,61.39085642052047,192.5351126379071,2914404
202001,06:40:00,61.140219108817035,195.37083015024191,3068885
202001,06:45:00,60.946097124196804,199.02654529250748,3126508
202001,06:50:00,60.77936374170443,198.5117789379855,3117826
202001,06:55:00,60.62555567260084,195.2276981852913,3066051
202001,07:00:00,60.2287580322343,192.1992359121299,3018489
202001,07:05:00,59.873591067102026,195.09841492138264,3064801
202001,07:10:00,59.57532918992937,201.32352566552032,3161182
202001,07:15:00,59.31298851785533,205.68702630405707,3229492
202001,07:20:00,59.05498788581055,208.4771004522581,3272882
202001,07:25:00,58.8376382597704,209.59133757961783,3290584
202001,07:30:00,58.60200147477084,210.58170351022488,3305501
202001,07:35:00,58.463278204993095,215.8068029810816,3387951
202001,07:40:00,58.39180448751717,220.54787369493252,3464366
202001,07:45:00,58.324997366480545,222.1332908975175,3489714
202001,07:50:00,58.36524807753072,219.49656357388315,3449169
202001,07:55:00,58.5086484778258,213.38957484725051,3352777
202001,08:00:00,58.60699462762042,208.02927884921394,3268348
