,lpad,tmonth,ttime,aspeed,aflow,sflow
0,073,202001,00:00:00,67.94091435794797,38.76017840076457,608341
1,073,202001,00:05:00,67.6395027915306,38.28418640183346,601368
2,073,202001,00:10:00,67.50291793953438,38.16886258035771,599671
3,073,202001,00:15:00,67.41054461181928,36.700598421186655,576493
4,073,202001,00:20:00,67.31631728642144,34.43967657732221,540944
5,073,202001,00:25:00,67.28519962077317,32.13930094862163,504812
6,073,202001,00:30:00,67.23534183082273,30.395785586962056,477457
7,073,202001,00:35:00,67.2058885494576,29.59226019985997,464924
8,073,202001,00:40:00,67.1719688191298,29.128763286869074,457642
9,073,202001,00:45:00,67.17574001896139,28.327540106951872,444969
10,073,202001,00:50:00,67.16143474138826,27.232889794359203,427747
11,073,202001,00:55:00,67.11628568418828,25.68022663610899,403385
12,073,202001,01:00:00,67.2120299167807,24.485103132161957,384612
13,073,202001,01:05:00,67.231981460023,24.171632289279348,379688
14,073,202001,01:10:00,67.24744548614771,23.810415075120957,374014
15,073,202001,01:15:00,67.23879700832194,23.208747135217724,364563
16,073,202001,01:20:00,67.17885810597286,22.375565034697907,351453
17,073,202001,01:25:00,67.14511745496678,21.698752228163993,340844
18,073,202001,01:30:00,67.11239860950178,21.379933791698498,335836
19,073,202001,01:35:00,67.08290319182551,21.870257193786607,343538
20,073,202001,01:40:00,67.09213104392708,22.16386554621849,348150
21,073,202001,01:45:00,67.10205414515953,21.638215263191395,339958
22,073,202001,01:50:00,67.08202886337301,21.13818343835529,332102
23,073,202001,01:55:00,67.05922258506264,20.371865054105665,320042
24,073,202001,02:00:00,67.1030232803118,20.052320030551844,315042
25,073,202001,02:05:00,67.13914463288732,20.165298198714275,316817
26,073,202001,02:10:00,67.13059096176121,20.287141947803946,318711
27,073,202001,02:15:00,67.1246813441482,20.200305518426582,317367
28,073,202001,02:20:00,67.10926998841245,20.08860598345003,315592
29,073,202001,02:25:00,67.09189929421682,20.122406110757478,316123
30,073,202001,02:30:00,67.05301801327288,20.362149086510918,319869
31,073,202001,02:35:00,67.090097966923,21.09675981921192,331409
32,073,202001,02:40:00,67.12744127251656,21.81839592616168,342767
33,073,202001,02:45:00,67.14988939218362,21.83716340951047,343040
34,073,202001,02:50:00,67.15293374065094,21.291406747294715,334488
35,073,202001,02:55:00,67.10209628147052,20.381604073838318,320195
36,073,202001,03:00:00,67.05706309912564,19.975175047740294,313810
37,073,202001,03:05:00,66.9898556831349,20.31137419642289,319112
38,073,202001,03:10:00,66.9798377752027,21.079243841894215,331176
39,073,202001,03:15:00,67.01580111661225,22.047037107758896,346381
40,073,202001,03:20:00,66.98279785104809,22.9524506683641,360583
41,073,202001,03:25:00,66.99866217212674,23.909808414486665,375647
42,073,202001,03:30:00,66.97277994311591,25.32792207792208,397851
43,073,202001,03:35:00,67.01270409775617,27.280412502387165,428548
44,073,202001,03:40:00,67.03279258400926,29.28995288424806,460028
45,073,202001,03:45:00,67.09113030654167,30.238271054809346,475013
46,073,202001,03:50:00,67.08938164963655,30.51206314851359,479314
47,073,202001,03:55:00,67.01391551669644,29.611868075894563,465084
48,073,202001,04:00:00,66.90198040661535,29.44426761728945,462540
49,073,202001,04:05:00,66.91169282629305,31.661934169478577,497314
50,073,202001,04:10:00,66.98322974823552,35.11674092934437,551684
51,073,202001,04:15:00,67.06707047298013,38.956076134699856,611961
52,073,202001,04:20:00,67.15669440640464,42.77262018465457,671744
53,073,202001,04:25:00,67.19431159801951,47.1738189227047,740912
54,073,202001,04:30:00,67.25418729590216,52.47968929071693,824246
55,073,202001,04:35:00,67.3525334456969,59.54972621927926,935288
56,073,202001,04:40:00,67.44912040450852,66.08799185024832,1037978
57,073,202001,04:45:00,67.57665648372472,71.1059737613043,1116506
58,073,202001,04:50:00,67.59331086063406,72.67220630372493,1141317
59,073,202001,04:55:00,67.53118087011485,71.94765664798777,1129866
60,073,202001,05:00:00,67.62625092173187,74.06781279847182,1163235
61,073,202001,05:05:00,67.66187717265359,81.11263211511525,1273955
62,073,202001,05:10:00,67.6697777309596,90.83546641197071,1426571
63,073,202001,05:15:00,67.63834404297891,100.41241642788921,1576977
64,073,202001,05:20:00,67.5863794374803,109.27632751814593,1716294
65,073,202001,05:25:00,67.49855683134959,117.46593658474468,1844920
66,073,202001,05:30:00,67.29381649636575,125.64552690226043,1973263
67,073,202001,05:35:00,67.03248709575486,135.76410289061505,2132311
68,073,202001,05:40:00,66.75543031707562,144.85109498344792,2275321
69,073,202001,05:45:00,66.46605920151686,147.4075630252101,2315478
70,073,202001,05:50:00,66.24174655008942,148.86867400853015,2338578
71,073,202001,05:55:00,66.01182976930362,146.0452664417139,2293933
72,073,202001,06:00:00,64.93513114926797,145.54736440030558,2286258
73,073,202001,06:05:00,64.23265564099864,153.94766997708174,2418210
74,073,202001,06:10:00,63.65773728010115,163.6094346829641,2569977
75,073,202001,06:15:00,63.11464236806061,170.21792831221748,2673613
76,073,202001,06:20:00,62.51205098493628,173.7585153116445,2729225
77,073,202001,06:25:00,61.96027599283677,175.4992361553151,2757093
78,073,202001,06:30:00,61.56168755925426,179.45178537330534,2819367
79,073,202001,06:35:00,61.39085642052041,192.5351126379071,2914404
80,073,202001,06:40:00,61.14021910881706,195.37083015024191,3068885
81,073,202001,06:45:00,60.94609712419682,199.02654529250748,3126508
82,073,202001,06:50:00,60.77936374170439,198.5117789379855,3117826
83,073,202001,06:55:00,60.62555567260092,195.2276981852913,3066051
84,073,202001,07:00:00,60.22875803223429,192.1992359121299,3018489
